"Product_Name","texts"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","This is so much better than my old 4s. It upgraded seamlessly to os9 and works perfectly."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Sending it back. Apps can not download as this phone can only take up to ios 7, and all the new apps are now using ios 9"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The phone works great, I'm just not an iPhone person."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Lasted for around 27 days now it won't hold a charge. I loved it when it first game updated it to ios 9.1.2 and it screwed me over not even a month what it. I don't even know what to do.EDIT: Product works. It was just the power brick that came with it. It no longer works. I do have another power brick and the phone does hold a charge."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Works like a brand new phone. Works great."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Although this did not come with original accessories as stated, knock off charger and no headphones which were include in the original accessories of the iphone 4, the phone seems to work fine for my teenager, the exterior is in excellent shape. Will update when I take it to our carrier."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","it was in great condition, and received it just as they stated"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I've got to be honest, i was a little leary about this product. I ordered it THEN looked at the reviews, boy were they unappealing to read. I was super nervous about what i had just ordered, but to my surprise, it was just fine. Yes, the phone is unlocked, but the box it came in said it would not work for any sprint or sprint affiliated carrier, so that was confusing. The battery is just as everybody says, discharges super fast and turns off when its around 20%. Phone looked brand new, no scratches. Powered right up and put my sim card in, service kicked right in. Overall, not bad."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","No problem so far. So good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","This iPgone was perfect for what I needed. Arrived in perfect condition, unlocked as said, and is working perfectly."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Let's hope he can keep from cracking this one. LOL"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I purchased this phone for my son on July 7 and on August 9 the phone conveniently died. It wouldn't charge at all and sits here as a tribute to my stupidity for listening to my teenage son who told me about purchasing a refurbished phone-- I know betterTHIS IS A SCAM! Do not buy this phone!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Is old phone no is new I want my money is back no want phone"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","recomiendo"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It works with my T-Mobile SIM card and functions properly I love it"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I was using an iPhone 6, but it was lost to the water. This looked like a good option until the new iPhone 7's are released. Unfortunately, the performance difference is significant between this phone and an iPhone 6. The battery is really weak and normally requires charging before the day is over. The phone is super slow - The camera is slow to open; apps are terrible. Not sure if it is the IOS 9 on a iPhone 4 or the phone is bad, but this thing is much slower than the iPhone 4 I had years ago. Overall, the phone is very frustrating to use!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Fast ship and exactly as described. Thank you."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","There is no damages and scratches to this item it is good as new I loved it......"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Iphone arrived in perfect condition, looks absolutely brand new. Battery life is great and it seems that the phone has never been used. We activated on Tracfone using their BYOP sim card and had no issues."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","This product said it was for Verizon,but it wasn't even there's."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phone is not charging, I bought it for my dad and sent it to India. It worked normal for 4-5 days then suddenly started giving problems, phone would hang often. One the torch would turn on and then it wouldn't turn off, turned off when the battery went out. Finally now the phone would not charge at all, tried to reset holding the power and start button and it would not do anything. Totally disappointed, have to figure out how to get my money back."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Its was not unlocked I tried to put cricket wireless for it and it keep telling me the sim was invalid so I called Cricket Wireless and they told me to call Sprint and they told me it was not unlocked"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I got this iPhone on straight talk works great"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Not GSM!!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phone brand new, no scratches all excellent"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","it is working fine as discribed"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Nice"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Good service and product. Recommended! Thank you."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Works great."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Came on time loved it looks even bigger than expected...having turned it on as yet but I'm blown over thought it would have looked bad....only thing I wish it came with the headphone and manual that wud a have been a plus buuuuttttt love love love my new iPhone thanks amazon love yah......."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Worth and full functional."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","This device works in Venezuela, is unlocked, has no box but is a new device, the charger and the cable is very cheap and low quality."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It would in the area where I live."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Volume no good cheap"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The iphone 4S was in pristine condition even though the description may not claim so. Also it was unlocked and I checked to see that it worked in AT&T. I sent the phone to India for use on the GSM network over there. I am very happy with the purchase. Highly recommended for the price. I paid $85 in July 2016."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Doesn't have enough space. I only have about 30 pictures and it won't let me take anymore. Also have to delete texts constantly. I haven't downloaded any apps."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","iPhone looks and works very good.Sorry that no headphones. The seller is comunicatible."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The Battery is not lasting for more than two hours"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Excellent product! For $89.00 I have a great smartphone AND it is unlocked! Phone and wifi signals are string. I highly recommend it!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phone works great, love it"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Got the phone in 2 days that was awesome & works great."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Thanks MrYour products is very good condition"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phone works ok but, i received a broken charger? it was completely disconnected from the piece and my home button kinda sticks but other then that it is ok find out tomorrow if cricket accepts it."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Very good item thanks amazon, your are wonderful"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","great"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","To my relief my phone worked fine. Ironically I could not activate on Verizon as a prepaid phone but it worked fine with Tracfone. I do not have any battery issues. This is just a backup phone anyway. It is not being used as a primary phone. I use it while I travel so I don't risk losing the more expensive version of this phone"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Just what I was waiting for!!! I just put my sym card and fix my settings, and i start using my cel right away!!!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I don't received head phone with iPhone"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Unlocked. See the attacked"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It is not unlocked, i love my virgin mobile iphone and it took a dive the last week so i got this as a replacement because in the details it said it was both gms and cdmc compatible. It is locked into verizon and i now have to spend more money on a prepaid contract that doesnt even work for me which is a big strain on my budget. Cant afford to return and can't wait for a new phone, very dissapointed."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Received the phone on the date promised and looked like a brand new phone. It wasn't until activating service with a carrier and attempting to transfer contacts from my old iPhone to this new one that we realized the wifi could not be enabled from setting or from the main screen. I have never seen an iPhone that had the wifi setting locked. Can't use it...it's on its way back."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","old android died, found this as a great deal and perfect condition when I received it. Hooked up with my Straight talk service with no problem"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Received it recently, looks good,hope to use it soon. THANKX"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Battery die"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Well this phone is breaking everyday like charger just broke left speaker don't work and when u talk on the phone I have to put it on speaker to hear something"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Great deliviry! Got it within 2 days and I bought it over the weekend. Phone works perfectly"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Yes"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Looks and works great, better than Apples' product warranty and support system."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","this is a 3G not a 4G as we thought and we cannot get on the internet out side of wifi very disappointed"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The information for this item said it was BSM unlocked and would work with Tmobile.It did NOT! So I asked for and was able to get a full refund."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Good sale"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Hello! Acquire thisApple iPhone 4S 16GB Unlocked - White (Certified Refurbished) product and the same presentaa problem with the handset (not olle ) what is the procedure to enforce the guarantee"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The battery life is horrible. I changed it fully before leaving home. Within few hours the battery was close to 10 %. It was hardly used for 10 mins of call. This seems to useless. Hope to return the device."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Excelent! Very good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","We receive without all the accessories and the charge doesn`t complete. You are selling a bad product."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It works! It doesn't hold a charge all day but it is ok for now. Not sure I would buy a refurbished again, especially from this seller due to the under charging."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Aside from relatively quickly dying battery, phone is very good. Please be sure to understand your ""carrier/service provider's"" cellular phone requirements before buying this."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It's a good quality phone had a problem updating it, but after that works fine, but someone changed the password to my account so might be something but overall okay buy"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Good thanks"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I have always been happy with Amazon...."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Excelente"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phone is in very good condition but the battery is completely useless and thus the phone is useless. Even after following every iPhone tip on closing all apps, changing several settings the battery still only lasts a couple of hours without being used for even a single phone call (the battery is drained in about 3 hours even when the phone is not in use) As a longtime iPhone user I know very well about battery problems (I've also owned a 4S like this one before) This battery should have been replaced! For a product with a ""certified refurbished"" label it was definitely not what was expected."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Like"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Fue un regalo para mu hija, ella esta feliz, ha funcionado perfecto en Venezuela"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phone was NOT unlocked as stated! It was Verizon contract phone! Buyer beware!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The phone is awesome. I had a 4 but I lost it. So this was a replacement. I may get my daughter the same one or the 5s if it's not too expensive."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","As advertised"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Great deal works like a new phone. Thanks"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","There was a problem with the electric connector. It is not appropriate fot the phone."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","excelent"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The charger was broken when i took it out of the box. I could see the internal wire. Packaging was also not that great. Really disappointed."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Love it!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","pristine condition, arrived on time, perfect! Love my new old Iphone"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Because the body is all score up, I tough that the casing was going to be changed"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","This phone looks like new and works perfectly. Just inserted the SIM card from my old phone, went through the easy setup prompts and done!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Pleased (:"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Internet will not work!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Shipping is great phone came just as expected overall you can trust the seller 100%"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","this phone literally only works when it is plugged into power. The battery lasts less than 5 min."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Nice phone in excellant condition. It looked brand new. It just wasnt a Verizon phone like the description on amazon said."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","This could not be a better buy. Love the ease of use. Phone was as described."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","buy two phones refurbished and have received USED micas screen with marks and scratches from use of protective liners or cases , the metal bezel with many brands use too. that just hurts the just received in Venezuela if not immediately returned ."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","More than I expected"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Great Buy, arrived in very good Condition with charger, set it up in Minutes 😍😍😍😍👍👍👍👍Made my 10 years old daughter Happy!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Everything came as ordered and worked great"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It was on the black list. I found that disrespectfull."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","This iPhone only works using the speakerphone. It is a rebuilt /unlocked phone. Very disappointing purchase. I will return it as soon as possible."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Is in perfect condition and is unlocked. all ports work well. It is just as fast as my other iPhone 4s was and can download the current iSO. only problem is that the phone gets really hot really quickly and the battery seems to run out a little faster than normal. comes in a fancy box with a clear top and a charger."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Working great. Looks like new."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It came on time was happy about it but the charger was not the right one sad can't use it. The surface looks good no scratches but the speaker is not working well when making a call ."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","battery drained too fast everytime, had to return it."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The telephone is in exquisite condition. Also everything is wonderful in regards to the performance of the telephone. Should the need occur in the future...there will not be any hesitation for me to purchase another telephone by using Amazon.com."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The phone is good but you sent me the wrong charger.I had to buy another one"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","In great condition. It came with charger. I have had no problems with the phone."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Llego well but with the default screen calls chokes and reheated too when charging the battery would give me warranty then could not make the claim before because just a week ago I get the product because I am from Venezuela and slow as I can solve this problem?"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I bought the iphone 4s two months ago and no longer works so useless that is cheap if not hard so I'm very upset with my purchase"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Seemed just like new. Works fine and a great value! Check here first if you need a new phone!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Okay.. but looks some costly"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Extremely pleased"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I recently purchased this phone as a birthday present for my son. I had this phone back when it was first released by Apple and had no issues with it. This phone was refurbished and came in looking brand new. The only difference was the fact that it came in a plain box and with no headphone. It did include the charger and cable however. He has been using the phone now for a few weeks and it has worked flawlessly. If you are looking to buy a phone outright, I would definitely opt for a refurbished model. I buy many items that have been on the market for a while refurbished and have never had any problems with operation or aesthetics of them."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phones appear to be in good condition. Not sure about them being new and the after market accessories are very cheap. The USB cable came apart while charging the first time. Reported to customer service via email but have yet to hear back so I just went to find my own replacement Hopefully the phones hold up longer than the charger...."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","its good, exactly what is pictured"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Everything was fine."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","not buying! It does not work: does not play audio from videos or ring when they call, no charge! and I am now in Colombia and I can not return it! And Amazon is not responding!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","little scrunches but in total all good"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It's a great replacement for another iPhone. It does the job at a great price."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Good items"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Still working fine"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phone was in perfect condition on arrival. Worked exactly as stated. All I did was pop my SIM card in and bam all done."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It is acceptable"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","They were very good and the seller is very trustworthy."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Easily transitioned father from old smart phones to this one through our ATT service. No issues."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Product came in perfect condition."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Phone is NOT unlocked"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","It's was somewhat okay being that it's refurbished. But I had expected be neater than it was.And I didn't expect the accessories to more than a charger. At least an earpiece added would not be bad."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The phone doesn't hold a charge very long"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I expected to receive the key thingy to open the phone and insert my Sim card. Now I have to look it in order to make it work with my cell plan."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","placed in the description that are new, and come with many stripes and details. DealFisher seller"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Great 1st iPhone for my child! Easy to connect to my current carrier!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Bought it for my wife, no complaints from her. She says way better than old Acer phone"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","This iPhone 4S is locked,it does not work with any international SIM card."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","After 5 full discharge and 5 full charge, I get just over 48 hours of stand-by time of battery life. According to the specifications I found on line, the stand-by time should be closer to 200 hours. This is the last time I purchase any refurbished product."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I know it was refurbished, but it came with a big scratch on the screen. It works fine though."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","The good news is that it was an unlocked phone. And I was able to go to any carrier to start it up.The bad news is that it does not have a good battery life. The phone loses its charge very quickly!"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","was not swiped properly. I am trying for the fourth time to get a phone that is handled properly."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","My husband's Motorola Droid broke so I tried to go cheap and replace it with the iPhone 4. Big Mistake!I love iPhones and have always had one. My husband has always used a Droid so this was my attempt to convert him. I had forgotten how limited the iPhone 4 is since it had been a long time since I had that model.I had to go back online and buy him a refurbished Motorola Droid so that he could use the new technology again."
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","Great"
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)","I like iphone great condition"
